"name","state","fueltech_id","label","lng","lat"
"Wollert","VIC","bioenergy_biogas","Biogas",145.043033,-37.591792
"Wyndham","VIC","bioenergy_biogas","Biogas",144.5898,-37.935371999999994
"Cockburn","WA","gas_ccgt","Gas (CCGT)",115.77398799999999,-32.200134000000006
"Geraldton","WA","distillate","Distillate",114.69183100000001,-28.790815000000002
"Gosnells","WA","bioenergy_biogas","Biogas",115.89508799999999,-32.0795137
"Henderson","WA","bioenergy_biogas","Biogas",115.790695,-32.1640034
"Kalamunda","WA","bioenergy_biogas","Biogas",116.07488529999999,-32.0032923
"Kambalda","WA","gas_ocgt","Gas (OCGT)",121.67190120000001,-31.1919033
"Kemerton","WA","distillate","Distillate",115.76057,-33.211662
"Kemerton","WA","gas_ocgt","Gas (OCGT)",115.7811324,-33.163566100000004
"Kwinana","WA","gas_ocgt","Gas (OCGT)",115.77544499999999,-32.197245
"Kwinana Cogen","WA","gas_ocgt","Gas (OCGT)",115.77441090000002,-32.2290511
"Kwinana Swift","WA","gas_ocgt","Gas (OCGT)",115.778516,-32.223991999999996
"Manjimup","WA","bioenergy_biomass","Biomass",116.1085206,-34.3331509
"Merredin","WA","gas_ocgt","Gas (OCGT)",118.2268664,-31.5426501
"Mirrabooka","WA","bioenergy_biogas","Biogas",115.8182949,-31.864457399999996
"Mungarra","WA","gas_ocgt","Gas (OCGT)",115.115999,-28.8878993
"Neerabup","WA","gas_ocgt","Gas (OCGT)",115.7988503,-31.671177500000002
"Newgen Kwinana","WA","gas_ccgt","Gas (CCGT)",115.773172,-32.201951
"Northam","WA","distillate","Distillate",116.847503,-31.642906
"Parkeston","WA","gas_ocgt","Gas (OCGT)",121.5062638,-30.738009299999998
"Picton","WA","distillate","Distillate",115.72098000000001,-33.356646000000005
"Pinjar","WA","gas_ocgt","Gas (OCGT)",115.8185124,-31.558544899999998
"Pinjara","WA","gas_ocgt","Gas (OCGT)",115.94685120000001,-32.6471604
"Red Hill","WA","bioenergy_biogas","Biogas",116.1008881,-31.830628499999996
"Richgro","WA","bioenergy_biogas","Biogas",115.895771,-32.103786
"Rockingham","WA","bioenergy_biogas","Biogas",115.8158851,-32.287538399999995
"South Cardup","WA","bioenergy_biogas","Biogas",116.019263,-32.266420000000004
"Tamala Park","WA","bioenergy_biogas","Biogas",115.72573440000001,-31.7061983
"Wagerup","WA","gas_ocgt","Gas (OCGT)",115.9204307,-32.9043187
"West Kalgoorlie","WA","distillate","Distillate",121.42151909999998,-30.7804027
"Bolivar",,"bioenergy_biogas","Biogas",138.387641,-34.495482
"George Town",,"distillate","Distillate",146.893204,-41.091063
"Laverton North",,"gas_ocgt","Gas (OCGT)",144.788006154048,-37.841693295236794
"Osborne",,"gas_ccgt","Gas (CCGT)",138.50809861051098,-34.797699815377
"Swanbank B",,"gas_ocgt","Gas (OCGT)",152.818643586756,-27.6552859093397
